date,index
1919-01-01,4.8762
1919-02-01,4.7741
1919-03-01,4.5954
1919-04-01,4.6975
1919-05-01,4.6720
1919-06-01,5.0039
1919-07-01,5.2847
1919-08-01,5.4124
1919-09-01,5.2081
1919-10-01,5.1060
1919-11-01,5.2847
1919-12-01,5.1826
1920-01-01,5.7187
1920-02-01,5.7187
1920-03-01,5.5911
1920-04-01,5.2592
1920-05-01,5.4379
1920-06-01,5.4379
1920-07-01,5.2337
1920-08-01,5.2592
1920-09-01,5.1315
1920-10-01,4.8507
1920-11-01,4.3401
1920-12-01,4.0337
1921-01-01,3.8295
1921-02-01,3.8295
1921-03-01,3.7274
1921-04-01,3.7274
1921-05-01,3.8550
1921-06-01,3.8295
1921-07-01,3.8295
1921-08-01,3.9827
1921-09-01,4.0337
1921-10-01,4.2125
1921-11-01,4.2635
1921-12-01,4.2125
1922-01-01,4.3146
1922-02-01,4.4167
1922-03-01,4.6209
1922-04-01,4.8252
1922-05-01,5.0805
1922-06-01,5.3102
1922-07-01,5.3613
1922-08-01,5.1571
1922-09-01,5.3102
1922-10-01,5.5400
1922-11-01,5.7443
1922-12-01,5.9230
1923-01-01,5.8208
1923-02-01,5.8719
1923-03-01,6.1272
1923-04-01,6.2038
1923-05-01,6.3314
1923-06-01,6.2549
1923-07-01,6.1527
1923-08-01,5.9995
1923-09-01,5.9740
1923-10-01,5.8719
1923-11-01,5.8719
1923-12-01,5.7953
1924-01-01,5.8974
1924-02-01,6.0251
1924-03-01,5.9230
1924-04-01,5.7698
1924-05-01,5.4889
1924-06-01,5.2081
1924-07-01,5.1315
1924-08-01,5.3102
1924-09-01,5.5145
1924-10-01,5.6677
1924-11-01,5.7953
1924-12-01,5.9995
1925-01-01,6.1783
1925-02-01,6.2038
1925-03-01,6.2293
1925-04-01,6.2293
1925-05-01,6.1783
1925-06-01,6.1527
1925-07-01,6.2804
1925-08-01,6.1783
1925-09-01,6.2038
1925-10-01,6.4591
1925-11-01,6.6378
1925-12-01,6.7910
1926-01-01,6.6378
1926-02-01,6.5867
1926-03-01,6.5612
1926-04-01,6.5612
1926-05-01,6.5101
1926-06-01,6.5867
1926-07-01,6.5867
1926-08-01,6.6633
1926-09-01,6.7910
1926-10-01,6.7399
1926-11-01,6.6889
1926-12-01,6.6633
1927-01-01,6.6123
1927-02-01,6.6633
1927-03-01,6.7144
1927-04-01,6.6889
1927-05-01,6.7144
1927-06-01,6.7144
1927-07-01,6.6633
1927-08-01,6.6123
1927-09-01,6.5102
1927-10-01,6.4080
1927-11-01,6.3825
1927-12-01,6.4591
1928-01-01,6.5867
1928-02-01,6.6633
1928-03-01,6.6889
1928-04-01,6.6633
1928-05-01,6.7655
1928-06-01,6.8420
1928-07-01,6.9442
1928-08-01,7.0973
1928-09-01,7.1229
1928-10-01,7.2505
1928-11-01,7.4037
1928-12-01,7.5313
1929-01-01,7.5824
1929-02-01,7.5569
1929-03-01,7.6335
1929-04-01,7.7356
1929-05-01,7.8888
1929-06-01,7.9909
1929-07-01,8.0675
1929-08-01,8.0164
1929-09-01,7.8632
1929-10-01,7.7867
1929-11-01,7.3526
1929-12-01,6.9186
1930-01-01,6.9952
1930-02-01,6.9442
1930-03-01,6.7144
1930-04-01,6.8165
1930-05-01,6.6889
1930-06-01,6.5102
1930-07-01,6.2038
1930-08-01,5.9740
1930-09-01,5.9230
1930-10-01,5.7187
1930-11-01,5.5655
1930-12-01,5.4379
1931-01-01,5.4379
1931-02-01,5.4890
1931-03-01,5.5911
1931-04-01,5.5911
1931-05-01,5.5400
1931-06-01,5.3358
1931-07-01,5.2592
1931-08-01,5.0805
1931-09-01,4.8507
1931-10-01,4.6209
1931-11-01,4.5443
1931-12-01,4.5188
1932-01-01,4.4678
1932-02-01,4.3401
1932-03-01,4.1869
1932-04-01,3.9316
1932-05-01,3.8295
1932-06-01,3.7019
1932-07-01,3.5742
1932-08-01,3.6763
1932-09-01,3.9316
1932-10-01,4.0337
1932-11-01,4.0593
1932-12-01,3.9827
1933-01-01,3.9316
1933-02-01,3.8295
1933-03-01,3.5997
1933-04-01,3.9827
1933-05-01,4.6720
1933-06-01,5.4379
1933-07-01,5.9995
1933-08-01,5.6421
1933-09-01,5.3613
1933-10-01,5.0549
1933-11-01,4.7230
1933-12-01,4.7741
1934-01-01,4.9273
1934-02-01,5.2081
1934-03-01,5.4124
1934-04-01,5.5145
1934-05-01,5.5911
