date,value
1972-01-01,0.0291
1972-02-01,0.0286
1972-03-01,0.0286
1972-04-01,0.0291
1972-05-01,0.0292
1972-06-01,0.0288
1972-07-01,0.0299
1972-08-01,0.0301
1972-09-01,0.0310
1972-10-01,0.0320
1972-11-01,0.0334
1972-12-01,0.0356
1973-01-01,0.0356
1973-02-01,0.0370
1973-03-01,0.0378
1973-04-01,0.0383
1973-05-01,0.0385
1973-06-01,0.0414
1973-07-01,0.0388
1973-08-01,0.0411
1973-09-01,0.0413
1973-10-01,0.0430
1973-11-01,0.0441
1973-12-01,0.0446
1974-01-01,0.0447
1974-02-01,0.0452
1974-03-01,0.0451
1974-04-01,0.0443
1974-05-01,0.0434
1974-06-01,0.0433
1974-07-01,0.0420
1974-08-01,0.0402
1974-09-01,0.0406
1974-10-01,0.0399
1974-11-01,0.0367
1974-12-01,0.0351
1975-01-01,0.0343
1975-02-01,0.0319
1975-03-01,0.0319
1975-04-01,0.0310
1975-05-01,0.0321
1975-06-01,0.0317
1975-07-01,0.0335
1975-08-01,0.0343
1975-09-01,0.0353
1975-10-01,0.0359
1975-11-01,0.0363
1975-12-01,0.0377
1976-01-01,0.0382
1976-02-01,0.0380
1976-03-01,0.0388
1976-04-01,0.0403
1976-05-01,0.0426
1976-06-01,0.0428
1976-07-01,0.0435
1976-08-01,0.0449
1976-09-01,0.0465
1976-10-01,0.0476
1976-11-01,0.0482
1976-12-01,0.0485
1977-01-01,0.0490
1977-02-01,0.0515
1977-03-01,0.0513
1977-04-01,0.0523
1977-05-01,0.0530
1977-06-01,0.0551
1977-07-01,0.0547
1977-08-01,0.0567
1977-09-01,0.0573
1977-10-01,0.0572
1977-11-01,0.0586
1977-12-01,0.0584
1978-01-01,0.0576
1978-02-01,0.0579
1978-03-01,0.0607
1978-04-01,0.0605
1978-05-01,0.0614
1978-06-01,0.0631
1978-07-01,0.0633
1978-08-01,0.0650
1978-09-01,0.0658
1978-10-01,0.0674
1978-11-01,0.0691
1978-12-01,0.0702
1979-01-01,0.0716
1979-02-01,0.0736
1979-03-01,0.0742
1979-04-01,0.0724
1979-05-01,0.0748
1979-06-01,0.0779
1979-07-01,0.0767
1979-08-01,0.0787
1979-09-01,0.0800
1979-10-01,0.0823
1979-11-01,0.0851
1979-12-01,0.0875
1980-01-01,0.0891
1980-02-01,0.0897
1980-03-01,0.0895
1980-04-01,0.0906
1980-05-01,0.0891
1980-06-01,0.0862
1980-07-01,0.0848
1980-08-01,0.0856
1980-09-01,0.0858
1980-10-01,0.0873
1980-11-01,0.0882
1980-12-01,0.0901
1981-01-01,0.0904
1981-02-01,0.0910
1981-03-01,0.0913
1981-04-01,0.0932
1981-05-01,0.0941
1981-06-01,0.0953
1981-07-01,0.0943
1981-08-01,0.0988
1981-09-01,0.1016
1981-10-01,0.1029
1981-11-01,0.1027
1981-12-01,0.1036
1982-01-01,0.1019
1982-02-01,0.1071
1982-03-01,0.1062
1982-04-01,0.1070
1982-05-01,0.1082
1982-06-01,0.1107
1982-07-01,0.1110
1982-08-01,0.1106
1982-09-01,0.1101
1982-10-01,0.1089
1982-11-01,0.1092
1982-12-01,0.1098
1983-01-01,0.1125
1983-02-01,0.1123
1983-03-01,0.1150
1983-04-01,0.1167
1983-05-01,0.1198
1983-06-01,0.1225
1983-07-01,0.1277
1983-08-01,0.1265
1983-09-01,0.1323
1983-10-01,0.1353
1983-11-01,0.1384
1983-12-01,0.1398
1984-01-01,0.1459
1984-02-01,0.1503
1984-03-01,0.1537
1984-04-01,0.1583
1984-05-01,0.1610
1984-06-01,0.1651
1984-07-01,0.1695
1984-08-01,0.1727
1984-09-01,0.1731
1984-10-01,0.1758
1984-11-01,0.1771
1984-12-01,0.1758
1985-01-01,0.1791
1985-02-01,0.1754
1985-03-01,0.1738
1985-04-01,0.1671
1985-05-01,0.1696
1985-06-01,0.1696
1985-07-01,0.1623
1985-08-01,0.1617
1985-09-01,0.1587
1985-10-01,0.1580
1985-11-01,0.1589
1985-12-01,0.1609
1986-01-01,0.1619
1986-02-01,0.1638
1986-03-01,0.1651
1986-04-01,0.1682
1986-05-01,0.1680
1986-06-01,0.1643
1986-07-01,0.1744
1986-08-01,0.1786
1986-09-01,0.1824
1986-10-01,0.1838
1986-11-01,0.1881
1986-12-01,0.1940
1987-01-01,0.1982
1987-02-01,0.2016
1987-03-01,0.2034
1987-04-01,0.2062
1987-05-01,0.2120
1987-06-01,0.2157
1987-07-01,0.2217
1987-08-01,0.2233
1987-09-01,0.2274
1987-10-01,0.2317
1987-11-01,0.2320
