date,index
1919-01-01,23.5620
1919-02-01,20.8142
1919-03-01,19.8525
1919-04-01,21.2264
1919-05-01,22.1194
1919-06-01,22.7376
1919-07-01,24.1115
1919-08-01,23.4246
1919-09-01,25.2793
1919-10-01,26.0350
1919-11-01,18.7534
1919-12-01,22.9437
1920-01-01,25.6228
1920-02-01,25.2793
1920-03-01,25.8975
1920-04-01,24.3863
1920-05-01,25.2793
1920-06-01,26.3784
1920-07-01,26.2410
1920-08-01,27.1340
1920-09-01,25.2793
1920-10-01,27.2027
1920-11-01,27.9584
1920-12-01,28.2331
1921-01-01,24.3176
1921-02-01,23.0811
1921-03-01,21.5011
1921-04-01,21.5011
1921-05-01,21.9133
1921-06-01,21.0890
1921-07-01,20.1960
1921-08-01,20.4020
1921-09-01,19.9899
1921-10-01,21.2951
1921-11-01,20.4020
1921-12-01,20.6768
1922-01-01,23.0124
1922-02-01,25.3480
1922-03-01,27.3401
1922-04-01,15.8683
1922-05-01,16.0743
1922-06-01,17.5856
1922-07-01,16.8987
1922-08-01,18.6160
1922-09-01,24.3863
1922-10-01,26.8593
1922-11-01,28.1645
1922-12-01,29.9505
1923-01-01,29.6757
1923-02-01,29.8818
1923-03-01,30.9809
1923-04-01,33.0417
1923-05-01,32.2174
1923-06-01,32.1487
1923-07-01,32.9043
1923-08-01,32.5608
1923-09-01,29.9505
1923-10-01,31.3930
1923-11-01,31.3931
1923-12-01,29.2635
1924-01-01,30.2252
1924-02-01,31.4617
1924-03-01,29.6757
1924-04-01,27.4775
1924-05-01,27.6149
1924-06-01,27.4775
1924-07-01,27.4088
1924-08-01,27.1340
1924-09-01,28.9888
1924-10-01,28.7827
1924-11-01,28.3705
1924-12-01,28.9201
1925-01-01,30.0879
1925-02-01,29.2635
1925-03-01,28.4392
1925-04-01,30.0192
1925-05-01,30.9122
1925-06-01,30.6374
1925-07-01,31.1183
1925-08-01,31.8052
1925-09-01,27.4088
1925-10-01,27.3401
1925-11-01,27.8897
1925-12-01,27.6149
1926-01-01,27.2027
1926-02-01,28.4392
1926-03-01,31.3930
1926-04-01,31.4617
1926-05-01,30.7748
1926-06-01,31.7365
1926-07-01,32.1487
1926-08-01,32.3548
1926-09-01,32.7669
1926-10-01,33.5225
1926-11-01,34.7590
1926-12-01,34.8277
1927-01-01,33.9347
1927-02-01,34.4843
1927-03-01,36.1329
1927-04-01,31.8052
1927-05-01,32.0113
1927-06-01,31.5991
1927-07-01,30.3627
1927-08-01,31.9426
1927-09-01,31.1869
1927-10-01,30.6374
1927-11-01,30.4313
1927-12-01,29.9505
1928-01-01,30.2253
1928-02-01,30.0192
1928-03-01,31.5304
1928-04-01,30.6374
1928-05-01,31.5304
1928-06-01,30.7061
1928-07-01,30.7748
1928-08-01,31.7365
1928-09-01,31.9426
1928-10-01,32.7669
1928-11-01,33.5913
1928-12-01,32.7669
1929-01-01,34.4843
1929-02-01,35.1712
1929-03-01,32.9730
1929-04-01,34.6216
1929-05-01,34.2782
1929-06-01,34.0721
1929-07-01,34.9651
1929-08-01,34.6904
1929-09-01,35.3086
1929-10-01,34.4155
1929-11-01,32.9043
1929-12-01,33.8660
1930-01-01,32.9043
1930-02-01,32.0113
1930-03-01,30.1565
1930-04-01,30.7748
1930-05-01,30.6374
1930-06-01,30.4313
1930-07-01,30.0192
1930-08-01,29.1949
1930-09-01,28.5079
1930-10-01,28.3705
1930-11-01,27.9584
1930-12-01,27.2714
1931-01-01,26.3097
1931-02-01,25.5541
1931-03-01,26.5158
1931-04-01,26.7219
1931-05-01,26.1723
1931-06-01,26.4471
1931-07-01,26.3097
1931-08-01,24.4550
1931-09-01,23.9054
1931-10-01,25.0732
1931-11-01,25.2106
1931-12-01,24.7984
1932-01-01,22.4629
1932-02-01,22.1881
1932-03-01,23.5620
1932-04-01,22.0507
1932-05-01,20.1959
1932-06-01,19.2342
1932-07-01,19.6464
1932-08-01,20.2647
1932-09-01,21.4325
1932-10-01,21.9820
1932-11-01,22.1194
1932-12-01,20.9516
1933-01-01,21.0890
1933-02-01,22.1194
1933-03-01,22.8063
1933-04-01,20.8142
1933-05-01,24.2489
1933-06-01,25.5541
1933-07-01,26.7219
1933-08-01,27.8210
1933-09-01,26.0349
1933-10-01,24.5237
1933-11-01,24.5237
1933-12-01,24.4550
1934-01-01,25.0732
1934-02-01,25.4854
1934-03-01,27.3401
1934-04-01,25.6914
1934-05-01,25.9662
1934-06-01,25.7602
1934-07-01,25.4854
1934-08-01,25.1419
1934-09-01,25.2106
1934-10-01,24.7984
1934-11-01,24.9358
1934-12-01,25.6915
1935-01-01,26.9966
1935-02-01,27.1341
1935-03-01,27.9583
1935-04-01,25.6228
1935-05-01,26.7219
1935-06-01,29.1261
1935-07-01,26.3097
1935-08-01,26.5158
1935-09-01,27.1340
1935-10-01,28.7827
1935-11-01,29.0575
1935-12-01,29.8131
1936-01-01,30.3626
1936-02-01,31.2557
1936-03-01,29.1948
1936-04-01,31.3930
1936-05-01,30.6374
1936-06-01,31.0496
1936-07-01,31.6678
1936-08-01,31.6678
1936-09-01,32.1487
1936-10-01,32.7669
1936-11-01,34.2095
1936-12-01,34.4843
1937-01-01,33.8660
1937-02-01,34.7590
1937-03-01,38.2624
1937-04-01,35.2399
1937-05-01,35.6521
1937-06-01,36.8198
1937-07-01,36.3390
1937-08-01,36.8199
1937-09-01,37.2320
1937-10-01,36.1329
1937-11-01,35.2399
1937-12-01,34.4155
1938-01-01,32.9730
1938-02-01,31.2557
1938-03-01,31.3243
1938-04-01,30.3626
1938-05-01,28.6453
1938-06-01,29.4009
1938-07-01,30.1566
1938-08-01,31.0496
1938-09-01,31.2557
1938-10-01,31.5991
1938-11-01,32.6295
1938-12-01,32.6295
1939-01-01,32.0113
1939-02-01,32.1487
1939-03-01,32.9043
1939-04-01,30.9809
1939-05-01,31.2556
1939-06-01,32.7669
1939-07-01,34.0034
1939-08-01,29.5383
1939-09-01,35.5834
1939-10-01,37.2320
1939-11-01,37.2320
1939-12-01,36.2016
1940-01-01,37.2320
1940-02-01,36.4764
1940-03-01,37.2320
1940-04-01,40.3919
1940-05-01,38.2624
1940-06-01,37.3007
1940-07-01,37.3007
1940-08-01,36.2703
1940-09-01,36.3390
1940-10-01,35.7208
1940-11-01,36.8198
1940-12-01,37.7816
1941-01-01,37.4381
1941-02-01,37.7129
1941-03-01,40.0484
1941-04-01,32.0800
1941-05-01,39.0867
1941-06-01,40.1172
1941-07-01,39.9797
